id,comment
1,&nbsp; 首先金领冠珍护，伊利大品牌值得信赖！包装好，密封完整，配方好，除基本营养成分外，还含有OPO、DHA、牛磺酸等额外添加，并且奶源好，来自新西兰！ 选择奶粉有五大技巧。一是试手感。用手指捏住奶粉包装袋来回摩擦，真奶粉质地细腻，会发出吱吱声，假奶粉由于添加绵白糖，葡萄糖等成分，颗粒较粗，会发出沙沙的流动声。 二是辨颜色。真奶粉呈天然乳黄色，假奶粉颜色较白，细看有结晶，和光泽，有的会呈现漂白色，或者有其他不自然的颜色。 三是闻气味，这款奶粉口感好，微甜，溶解快，宝宝爱喝，奶味特别浓，是完全符合一份真正的好奶粉的需求，宝宝喜欢喝，大人也放心！ 支持伊利，支持京东自营！！！！！！！
2,金领冠从一段吃到四段，挺好的。金领冠奶粉，奶粉捏起来滋滋响，外观颗粒都比较均匀，粉质很有光泽。奶粉粉质松散，乳黄色，口感细腻，微甜，腥味比较淡！一罐一码可以精准的追溯！富有opo结构脂，减少皂化钙。营养很好吸收。含有bid复核益生菌，宝宝肚肚舒畅，不哭闹。
3,买过买过30多罐了，能优惠点吗？宝宝出生到现在一直吃的珍护1、包装好，密封完整； 2、配方好，除基本营养成分外，还含有OPO、DHA、牛磺酸等额外添加； 3、奶源好，来自新西兰； 4、口感好，微甜，溶解快，宝宝爱喝。 这罐被我颠了好多下以测试密封性，所以罐口都是奶粉，溶解度很好，基本没有挂壁，自己尝了下，微甜，奶味挺足的，口感不错，宝宝也爱喝。 拍照拍的不是很好，见谅，使用感受都是真实的感想，分享给大家。
4,"1、宝宝一直在喝伊利珍护，护肠道好吸收。
2、宝贝一直吃这个，从一岁就开始吃，东西非常好，奶粉，比一般的都要好，然后宝宝吃了之后非常聪明，很喜欢这个味道。
3、非常好的奶粉，孩子喝着也行，不上火，味道不错。
4、一直喝的这个奶粉，现在都有点消不住了，宝宝都快两岁了，几乎四到五天一桶呀，伤不起。
5、三阶段一直给宝贝买的这款，感觉不错。
6、宝宝一直喝这个牌子，伊利一直是我的首选。过去看到好多品牌的婴儿奶粉出过问题，只有伊利没有，想要给宝宝好点的奶粉，这款虽然贵点，但觉得值。
7、性价比不错，宝宝一直喝这款奶粉，不错。
8、添加1,3-二油酸-2棕榈酸甘油三酯(OPO结构脂)，可以让宝宝排便更轻松，预防宝宝上火，增强宝宝抵抗力的。
9、新出了4段，年龄层区分的更细，非常赞。包装升级，更人性化了，无论锡箔纸设计还是勺子，都实用了更多。
10、牛奶挺好的，质量也不错。女儿喝了也没什么不好的反应。
11、宝宝戒奶后一直喝伊利珍护的!比实体店实惠!买一次过启赋的宝宝不喝!已关注电铺会回购的!相信国产牛奶!
12、这个奶粉从半岁起吃，感觉挺喜欢吃。
1"
5,家里现在宝宝开始吃饭了，奶粉作为辅助，一天喝个2.3次，奶粉还是支持国产，国产选择伊利金领冠，各方面相对比较好，宝宝也很喜欢喝，淡淡奶香。奶粉很细腻，溶解性也很好，加水一摇就溶解了。味道不错，易吸收。促成长，自营奶粉不错，值得购买。
6,以前用过的，好久没用了，现在好像换包装了，试试的态度，结果还是可以的，老公头皮屑比较多的，洗完了很清爽，不油腻，喜欢的宝宝赶紧，下手吧。一下买了两瓶，都是不同的功效，洗完头发很柔顺，很清香，不用护发素都行
7,"营养配方：进口奶源，其他营养配比也合理
消化吸收：宝宝喝了消化吸收的很好，大便也很好很正常
清火功效：宝宝喝了一段时间了，没上火
溶解性：很好溶解，摇晃几下就可以了
其他特色：我尝了尝，奶香味很浓，宝宝说好喝，很喜欢喝，宝宝之前喝的别的奶粉，换成这个宝宝很喜欢喝。会一直喝下去。"
8,"正品验证：用手机扫描罐子底部二维码，能正常扫描，并且有积分入账。
溶解性：女儿从断奶就开始吃这款奶粉，家里面买了一个保温器，刚好50度的水，最容易就溶解了，不浪费。
消化吸收：吸收非常很好，想给女儿试吃一下别的奶粉，结果肠胃可能不吸收，吃了两天酒又换回来了。"
9,"正品验证：是正品，扫码确认
营养配方：除了基本营养外，还含有OPO，DHA，牛磺酸等额外添加，并且奶源也好，来自新西兰。
消化吸收：从怀孕就准备的金领冠珍护，宝宝出生后喝珍护不上火也不便秘也不腹泻，非常好
其他特色：口感好，微调，腥味比较淡，奶粉粉质松散，乳黄色，很细腻。"
10,下面说说选择这款奶粉的原因：1、包装好，密封完整；2、配方好，除基本营养成分外，还含有 OPO 、 DHA 、牛磺酸等额外添加；3、奶源好，来自新西兰；4、口感好，微甜，溶解快，宝宝爱喝。这罐被我颠了好多下以测试密封性，所以罐口都是奶粉，溶解度很好，基本没有挂壁，自己尝了下，微甜，奶味挺足的，口感不错，宝宝也爱喝。拍照拍的不是很好，见谅，使用感受都是真实的感想，分享给大家。
1,宝宝出生到现在一直吃的珍护1、包装好，密封完整； 2、配方好，除基本营养成分外，还含有OPO、DHA、牛磺酸等额外添加； 3、奶源好，来自新西兰； 4、口感好，微甜，溶解快，宝宝爱喝。 这罐被我颠了好多下以测试密封性，所以罐口都是奶粉，溶解度很好，基本没有挂壁，自己尝了下，微甜，奶味挺足的，口感不错，宝宝也爱喝。 拍照拍的不是很好，见谅，使用感受都是真实的感想，分享给大家。
2,大宝一直都喝的金领冠，二宝出生后，开始戒奶后一直喝伊利珍护的!伊利是国产奶粉里面最信任的一个品牌，比实体店实惠!还经常有活动，相信国产牛奶!也选择伊利金领冠珍护，不上火，奶粉很细腻，溶解性也很好，加水一摇就溶解了。易吸收，孩子各项成长指标都不错，也很喜欢这个味道。口感细腻香甜，京东自营，正品保证，营养丰富，包装严实，没有破损，日期新鲜。
3,"这是第4次购买了，下面说说选择这款奶粉的原因: 1、包装好，密封完整。
 2、配方好，除基本营养成分外，还含有0PO、
DHA、牛磺酸等额外添加; 
3、奶源好，来自新西兰。
4、口感好，微甜，溶解快，宝宝爱喝。这罐被我
颠了好多下以测试密封性，所以罐口都是奶粉，溶解
度很好，基本没有挂壁，自己尝了下，微甜，奶味挺
足的，口感不错，宝宝也爱喝。拍照拍的不是很好，
见谅，使用感受都是真实的感想，分享给大家。"
4,一直都是买的金领冠，价格相对较贵，质量相对较好，宝宝也很喜欢喝，就没有再换过了。奶粉很细腻，溶解性也很好，加水一摇就溶解了。味道有点偏甜，易吸收。不过现在宝宝开始吃饭了，奶粉作为辅助，一天喝3&mdash;4次，还不错，值得购买
5,宝宝从出生一直到现在喝的都是珍护，时间证明，宝宝长的很健康，身体健硕，很感谢伊利把这样一款产品带给销费者。都说国外奶粉安全，上次看了伊利直播，上面介绍了伊利的生产工厂，真感慨国内企业强大了，安全性很高，支持伊利
6,伊利奶粉，非常非常好，大品牌，含有乳铁蛋白，提高免疫力，含dha提高智商，宝宝从小到大都是吃伊利奶粉，宝宝抵抗力强，身体棒，珍护4段，去了之后，宝宝不在，便秘。5星好评，京东快递在非常时期，快递员非常敬业，5星好评谢谢快递员送到。致敬！
7,"正品验证：瓶底有二维码验真伪，已扫二维码是正品。
营养配方：配方齐全，除了基本婴儿需要的营养成分外还有DHA、OPO等，可以让宝宝排便更轻松，来自新西兰奶好。
溶解性：口感好，微甜，遇水即溶，宝宝爱喝，溶解度很好，基本没有挂壁，自己尝了下，奶味挺足的，口感不错，这罐被我颠了好多下已测试密封性，使用感受都是真实的感想，分享给大家"
8,"正品验证：正品
营养配方：配方全面
消化吸收：吸收好，消化好，宝宝吃了不便秘
清火功效：不上火
溶解性：速溶，不结坨
其他特色：支持国产，很强大，购买n次，宝宝喜欢吃，不加蔗糖不加香精，是我给宝宝的首选，"
9,宝宝一直在喝这一款珍护奶粉。刚收到快递的时候，包装特别好，密封很完整哦。伊利珍护奶粉的配方号，奶源也挺好的，来自于新西兰。宝宝很喜欢喝，奶粉很容易溶解，然后营养好吸收， 感觉挺好的，一直在喝这款奶粉，嗯，值得推荐给各位宝妈哟。
10,口感细腻香甜，京东自营，正品保证，营养丰富，消化很好，吸收也不错，溶解性很强，宝宝吃的也特别多，特别可爱的就是搂着奶粉罐直接干吃，特别感谢快递小哥，最近疫情严重，都封路了，进不来，很耐心的等我，非常感谢，
1,给宝宝喝了几天才过来评论的。已经扫码，是正品，这款奶粉营养均衡，容易吸收，容易冲泡，没有挂壁现象，口感很好，宝宝很喜欢喝。包装严实，没有破损，日期新鲜。在疫情这么严重的情况下，送货速度很快，点赞！喝完肯定还会回购的。
2,"正品验证：朋友 打电话至伊利官方电话查询，得到的回答是说是正品。
营养配方：挺好的，反正我家娃并没有另外再补充什么营养剂，就正常吃饭喝奶粉
消化吸收：挺好的，抵抗力还挺好，很少生病感冒
清火功效：不上火，小朋友没有 出现过便秘现象
溶解性：很好，温水泡也不挂壁不沉淀。"
3,宝宝之前喝的澳洲爱他美，后面有点担心买到假货就决定换国产，在飞鹤和金领冠中纠结，最后朋友推荐选择了金领冠，宝宝喝的很好，不上火，便便不干，在京东买性价比也不错，比超市便宜好多，也方便，还时不时有礼品送，以后都喝金领冠了
4,"正品验证：底部可扫码验证，百分百正品。
消化吸收：容易吸收，宝宝也没有出现消化不良的现象，也没有出现拉肚子等现象。
清火功效：从开始喝到现在没有出现过上火现象，应该挺不错的吧。
溶解性：溶解性非常好，加到水里摇一摇，轻松溶解。
其他特色：个人感觉挺不错哦，宝宝又喜欢喝。"
5,伊利金领冠，溶解性好。价格适中，宝宝爱喝，还不上火，营养配方很全面，适合宝宝娇嫩肠胃吸收，消化易吸收，宝宝不上火
6,"正品验证：伊利金领冠一直都是个口碑好质量好的牌子，我们很信赖它。
营养配方：&alpha;?&beta;蛋白，创**白好吸收，含有四种核苷酸，宝宝小肚子很能适应。
消化吸收：含有复合益生菌，小肚肚舒畅，营养好吸收。
清火功效：清火效果很明显，宝宝喝完奶粉后不上火。
溶解性：溶解性非常好，摇晃几下奶粉都溶解了。"
7,宝宝一岁了，现在喝到三段，很不错的奶粉，以前是母乳，偶尔掺点儿伊利奶粉，那个时候喝的不太多。现在断奶了之后，宝宝就接着喝了，喝了还不错。我看到很多人说喝奶粉上火，这款奶粉喝着没怎么上火。以后继续购买，为孩子补充营养。
8,"正品验证：大牌有保障，专为中国宝宝设计的奶粉。
营养配方：非常的有营养，非常适合宝宝的脾胃，保护宝宝娇弱的肠胃，吃了不上火，肠胃非常的好。
消化吸收：消化吸收非常的好，非常的容易消化。
清火功效：很清火，宝宝吃了一点也不会上火。
溶解性：溶解性非常的好，溶解的特别快。"
9,9年前我家大宝儿子吃的就是金领冠，当时孩子吃的就很好，孩子吃得非常胖，上学了也聪明，当时网购还没这么方便，都是实体店买，现在真是太方便了，网京东上优惠也大，配送速度也快，当天下单，第二天就能收到货。这老二闺女没出生我就给她准备上金领冠，冲时容易溶解，这吃了10多天，宝宝不排斥，喝了不上火，孩子大便也好，吸收也是非常好，宝宝爱喝。
10,伊利大品牌，宝宝一直吃这个品牌，这个奶粉的味道比较清淡，当时宝宝母乳转奶粉的时候喝了这个，很轻松就转奶粉了，一直喝了几个月了，宝宝消化好，每天都有便便，吸收也很好，宝宝长得很健康，不会像很多奶粉宝宝长的超级胖，宝妈可以放心买，因为可以追溯奶源的，正品大品牌，信得过。
1,金领冠1段买了很多次，孩子母乳不够吃，刚好抢到店铺优惠券啦，赶紧囤上几罐，还有赠品，算下来很划算。我家大宝儿子吃的就是金领冠，当时孩子吃的就很好，孩子吃得非常胖，上学了也聪明，当时网购还没这么方便，都是实体店买，现在真是太方便了，网京东上优惠也大，配送速度也快，当天下单，第二天就能收到货。这老二闺女没出生我就给她准备上金领冠，容易溶解，这吃了30多天，宝宝不排斥，喝了不上火，孩子大便也好，吸收也是非常好。
2,"正品验证：相信是正品，京东星店长定制版，包装很好，很满意，赠品掌心吹风机试用了一下也很满意
营养配方：不错
消化吸收：宝宝吃了一个月这款奶粉了，很适合，不拉肚子，大便也正常。
清火功效：没有上火的情况出现。
溶解性：我家奶瓶每次喝完很干净，溶解不错。
其他特色：其他特色值得说的一点应该就是放勺子了，可以放口子上，很方便。"
3,国产奶粉品牌里最信任的一个品牌了，适合中国宝宝喝的奶粉，口感很好，不怎么甜，溶解也很好，不挂壁也不会成块，宝宝喝了一段时间了，抵抗力也好，吸收也好，长的很快，肉眼可见的那种裤子变短了。900装的更好，自带勺子，405没有配勺子，更不方便一点
4,"正品验证：官网积分3段110分
营养配方：有opo益生菌，宝宝肠胃不好，喝飞鹤老是腹泻，换了珍护就没有腹泻了
消化吸收：宝宝吃了之后长肉肉了
清火功效：没有上火
溶解性：不挂壁
其他特色：价格很便宜，有活动七百3罐送2罐小的，一箱舒化牛奶，一箱瓶装安慕希，很划算，一次买了2套"
5,"营养配方：很好喝  宝宝喝完很健康
消化吸收：吸收的也不错 粑粑不干燥
溶解性：轻轻摇晃 溶解不错
其他特色：10岁外女说好喝"
6,"正品验证：已验证是正品，可积分，我还用积分换购了一口颜值非常高的小奶锅
营养配方：还是很全面的，我家宝吃这个奶粉从来没有另外补充什么营养剂，体检各方面指标都很好
消化吸收：好吸收，小朋友长的挺快
溶解性：泡的时候没有发现挂壁无沉淀，不需要大力摇晃，轻轻搓奶瓶就能溶解均匀
清火功效：不上火，宝宝没有便秘过"
7,"最近给宝宝戒奶宝宝很喜欢喝正好赶上做活动就囤了许多
消化吸收：里面含益生菌宝宝喝了之后消化吸收的很好
溶解性：溶解性也很好遇水就会化了不会出现疙瘩"
8,"正品验证：伊利官方正品二维码识别扫描查验真伪。
营养配方：新西兰牧场牛奶，营养均衡，搭配合理。
消化吸收：小孩子一直在喝伊利系列奶粉，很容易消化吸收的。
清火功效：小孩子喝了之后，一点都不上火，而且也特别喜欢的。
溶解性：温水冲服，特别容易溶解。
其他特色：京东自营的商品，货真价实。"
9,宝宝断奶以后一直喝这个奶，每天540毫升，没有上火，温水入水以后溶解性特别好，直接就能够溶解。有朋友推荐进口的给我，我对比一看，其实进口的刨去关税所购买的还不如这个奶粉贵，我也在大超市里面对比了，金领冠都是非常畅销的奶粉，值得点赞
10,"正品验证：正品京东自营质量有保障
营养配方：我家宝贝一直喝这个系列的 从一段到四段了 大品牌值的信赖
消化吸收：奶源产地新西兰 特别添加DHA牛磺酸等
清火功效：口味比较清淡 宝贝喝了不上火 
溶解性：溶解性很好 基本不挂壁
其他特色：配方除基本营养之外 还有OPO口感好微甜 溶解性快宝贝爱喝 总之宝贝爱喝就会回购 娃上幼儿园早上加米粉一起充就吃饱了 省的做早餐了 总之方便"
1,"正品验证：底部有二维码可以验证正品。
消化吸收：易消化，也很容易吸收。我的宝宝非常喜欢喝，每天睡觉前都必须喝，没喝就再闹。
清火功效：买了这么多，喝了这么久都没上火，我觉得挺不错哦。
溶解性：非常好溶解，加好奶粉后轻轻的摇几下就可以溶解了，真的挺不错的，推荐哦。"
2,"正品验证：伊利幼儿配方奶粉，奶粉桶底部二维码扫描识别真伪，还可以查产地来自哪里。
营养配方：营养均衡，配方独特，真正的好奶粉。
消化吸收：宝宝喝了之后，很容易消化吸收的。
清火功效：小孩子喝了一点都不上火的。
溶解性：温水冲泡，溶解性特别好。
其他特色：京东自营的商品，价格优惠。"
3,"正品验证：会员俱乐部积分兑换礼品，是正品呦！
营养配方：添加了宝宝需要的多种营养成分，满足身体发育需求，非常的棒！
消化吸收：宝宝没有出现便秘的情况，吸收很好！
其他特色：口味香甜，奶香味十足哦！价格比超市便宜！送货速度快！
溶解性：很快溶于水中，没有颗粒，只需轻轻摇晃就能冲出细腻的奶了！"
